"Year","Region","Country","Co2_Emission_in_mtCo2"
"2012","Middle East and Africa","Algeria","48.5407"
"2013","Middle East and Africa","Algeria","51.9189"
"2014","Middle East and Africa","Algeria","52.8422"
"2015","Middle East and Africa","Algeria","58.2359"
"2016","Middle East and Africa","Algeria","56.5301"
"2012","South and Central America","Argentina","85.602"
"2013","South and Central America","Argentina","88.7641"
"2014","South and Central America","Argentina","94.1098"
"2015","South and Central America","Argentina","96.6846"
"2016","South and Central America","Argentina","95.8521"
"2012","Asia Pacific","Australia","133.0099"
"2013","Asia Pacific","Australia","135.6436"
"2014","Asia Pacific","Australia","136.9612"
"2015","Asia Pacific","Australia","137.8924"
"2016","Asia Pacific","Australia","137.8082"
"2012","Europe and CIS","Belgium","45.4161"
"2013","Europe and CIS","Belgium","45.715"
"2014","Europe and CIS","Belgium","44.8142"
"2015","Europe and CIS","Belgium","46.6569"
"2016","Europe and CIS","Belgium","47.8796"
"2012","South and Central America","Brazil","309.2746"
"2013","South and Central America","Brazil","325.7223"
"2014","South and Central America","Brazil","338.7515"
"2015","South and Central America","Brazil","329.8175"
"2016","South and Central America","Brazil","312.2843"
"2012","North America","Canada","257.1693"
"2013","North America","Canada","256.5595"
"2014","North America","Canada","249.3268"
"2015","North America","Canada","248.4366"
"2016","North America","Canada","252.8827"
"2012","South and Central America","Chile","45.1625"
"2013","South and Central America","Chile","45.9136"
"2014","South and Central America","Chile","46.203"
"2015","South and Central America","Chile","46.8914"
"2016","South and Central America","Chile","47.1978"
"2012","Asia Pacific","China","1176.7119"
"2013","Asia Pacific","China","1234.6214"
"2014","Asia Pacific","China","1263.0724"
"2015","Asia Pacific","China","1344.1156"
"2016","Asia Pacific","China","1384.3486"
"2012","South and Central America","Colombia","38.6772"
"2013","South and Central America","Colombia","42.3705"
"2014","South and Central America","Colombia","39.7764"
"2015","South and Central America","Colombia","41.8924"
"2016","South and Central America","Colombia","42.8595"
"2012","Europe and CIS","Czech Republic","20.5473"
"2013","Europe and CIS","Czech Republic","19.6549"
"2014","Europe and CIS","Czech Republic","20.633"
"2015","Europe and CIS","Czech Republic","21.4145"
"2016","Europe and CIS","Czech Republic","20.1516"
"2012","Middle East and Africa","Egypt","94.6631"
"2013","Middle East and Africa","Egypt","97.0997"
"2014","Middle East and Africa","Egypt","82.3667"
"2015","Middle East and Africa","Egypt","85.1677"
"2016","Middle East and Africa","Egypt","87.3497"
"2012","Europe and CIS","France","204.8915"
"2013","Europe and CIS","France","202.6341"
"2014","Europe and CIS","France","196.5714"
