"Year","Fuel_Type","Region","Country","Consumption"
"2012","Gas","Europe and CIS","Belgium",18
"2012","Gas","Europe and CIS","Czech Rep.",8
"2012","Gas","Europe and CIS","France",43
"2012","Gas","Europe and CIS","Germany",86
"2012","Gas","Europe and CIS","Italy",75
"2012","Gas","Europe and CIS","Netherlands",46
"2012","Gas","Europe and CIS","Poland",18
"2012","Gas","Europe and CIS","Portugal",4
"2012","Gas","Europe and CIS","Romania",14
"2012","Gas","Europe and CIS","Spain",32
"2012","Gas","Europe and CIS","Sweden",1
"2012","Gas","Europe and CIS","United Kingdom",79
"2012","Gas","Europe and CIS","Norway",6
"2012","Gas","Europe and CIS","Turkey",45
"2012","Gas","Europe and CIS","Kazakhstan",25
"2012","Gas","Europe and CIS","Russia",471
"2012","Gas","Europe and CIS","Ukraine",53
"2012","Gas","Europe and CIS","Uzbekistan",53
"2012","Gas","North America","Canada",105
"2012","Gas","North America","United States",726
"2012","Gas","South and Central America","Argentina",50
"2012","Gas","South and Central America","Brazil",32
"2012","Gas","South and Central America","Chile",5
"2012","Gas","South and Central America","Colombia",10
"2012","Gas","South and Central America","Mexico",74
"2012","Gas","South and Central America","Venezuela",25
"2012","Gas","Asia Pacific","China",147
"2012","Gas","Asia Pacific","India",57
"2012","Gas","Asia Pacific","Indonesia",41
"2012","Gas","Asia Pacific","Japan",133
"2012","Gas","Asia Pacific","Malaysia",38
"2012","Gas","Asia Pacific","South Korea",51
"2012","Gas","Asia Pacific","Taiwan",15
"2012","Gas","Asia Pacific","Thailand",45
"2012","Gas","Asia Pacific","Australia",37
"2012","Gas","Asia Pacific","New Zealand",5
"2012","Gas","Middle East and Africa","Algeria",34
"2012","Gas","Middle East and Africa","Egypt",48
"2012","Gas","Middle East and Africa","Nigeria",15
"2012","Gas","Middle East and Africa","South Africa",5
"2012","Gas","Middle East and Africa","Iran",152
"2012","Gas","Middle East and Africa","Kuwait",18
"2012","Gas","Middle East and Africa","Saudi Arabia",81
"2012","Gas","Middle East and Africa","United Arab Emirates",66
"2013","Gas","Europe and CIS","Belgium",18
"2013","Gas","Europe and CIS","Czech Rep.",8
"2013","Gas","Europe and CIS","France",46
"2013","Gas","Europe and CIS","Germany",88
"2013","Gas","Europe and CIS","Italy",70
"2013","Gas","Europe and CIS","Netherlands",46
