"Year","Fuel_Type","Region","Country","Production"
"2012","Gas","Europe and CIS","Belgium",0
"2012","Gas","Europe and CIS","Czech Rep.",0
"2012","Gas","Europe and CIS","France",1
"2012","Gas","Europe and CIS","Germany",13
"2012","Gas","Europe and CIS","Italy",9
"2012","Gas","Europe and CIS","Netherlands",80
"2012","Gas","Europe and CIS","Poland",6
"2012","Gas","Europe and CIS","Portugal",0
"2012","Gas","Europe and CIS","Romania",11
"2012","Gas","Europe and CIS","Spain",0
"2012","Gas","Europe and CIS","Sweden",0
"2012","Gas","Europe and CIS","United Kingdom",41
"2012","Gas","Europe and CIS","Norway",119
"2012","Gas","Europe and CIS","Turkey",1
"2012","Gas","Europe and CIS","Kazakhstan",31
"2012","Gas","Europe and CIS","Russia",658
"2012","Gas","Europe and CIS","Ukraine",20
"2012","Gas","Europe and CIS","Uzbekistan",63
"2012","Gas","North America","Canada",156
"2012","Gas","North America","United States",681
"2012","Gas","South and Central America","Argentina",41
"2012","Gas","South and Central America","Brazil",19
"2012","Gas","South and Central America","Chile",1
"2012","Gas","South and Central America","Colombia",13
"2012","Gas","South and Central America","Mexico",47
"2012","Gas","South and Central America","Venezuela",23
"2012","Gas","Asia Pacific","China",111
"2012","Gas","Asia Pacific","India",40
"2012","Gas","Asia Pacific","Indonesia",77
"2012","Gas","Asia Pacific","Japan",3
"2012","Gas","Asia Pacific","Malaysia",61
"2012","Gas","Asia Pacific","South Korea",0
"2012","Gas","Asia Pacific","Taiwan",0
"2012","Gas","Asia Pacific","Thailand",33
"2012","Gas","Asia Pacific","Australia",54
"2012","Gas","Asia Pacific","New Zealand",5
"2012","Gas","Middle East and Africa","Algeria",85
"2012","Gas","Middle East and Africa","Egypt",54
"2012","Gas","Middle East and Africa","Nigeria",41
"2012","Gas","Middle East and Africa","South Africa",1
"2012","Gas","Middle East and Africa","Iran",156
"2012","Gas","Middle East and Africa","Kuwait",16
"2012","Gas","Middle East and Africa","Saudi Arabia",81
"2012","Gas","Middle East and Africa","United Arab Emirates",54
"2013","Gas","Europe and CIS","Belgium",0
"2013","Gas","Europe and CIS","Czech Rep.",0
"2013","Gas","Europe and CIS","France",0
"2013","Gas","Europe and CIS","Germany",12
"2013","Gas","Europe and CIS","Italy",8
"2013","Gas","Europe and CIS","Netherlands",86
"2013","Gas","Europe and CIS","Poland",6
"2013","Gas","Europe and CIS","Portugal",0
"2013","Gas","Europe and CIS","Romania",11
"2013","Gas","Europe and CIS","Spain",0
"2013","Gas","Europe and CIS","Sweden",0
"2013","Gas","Europe and CIS","United Kingdom",39
"2013","Gas","Europe and CIS","Norway",113
"2013","Gas","Europe and CIS","Turkey",1
"2013","Gas","Europe and CIS","Kazakhstan",33
"2013","Gas","Europe and CIS","Russia",675
"2013","Gas","Europe and CIS","Ukraine",21
"2013","Gas","Europe and CIS","Uzbekistan",60
"2013","Gas","North America","Canada",156
"2013","Gas","North America","United States",686
"2013","Gas","South and Central America","Argentina",39
"2013","Gas","South and Central America","Brazil",21
"2013","Gas","South and Central America","Chile",1
"2013","Gas","South and Central America","Colombia",13
"2013","Gas","South and Central America","Mexico",46
"2013","Gas","South and Central America","Venezuela",22
"2013","Gas","Asia Pacific","China",121
"2013","Gas","Asia Pacific","India",35
"2013","Gas","Asia Pacific","Indonesia",76
"2013","Gas","Asia Pacific","Japan",3
"2013","Gas","Asia Pacific","Malaysia",69
"2013","Gas","Asia Pacific","South Korea",0
"2013","Gas","Asia Pacific","Taiwan",0
"2013","Gas","Asia Pacific","Thailand",36
"2013","Gas","Asia Pacific","Australia",62
"2013","Gas","Asia Pacific","New Zealand",5
"2013","Gas","Middle East and Africa","Algeria",81
"2013","Gas","Middle East and Africa","Egypt",48
"2013","Gas","Middle East and Africa","Nigeria",37
"2013","Gas","Middle East and Africa","South Africa",1
"2013","Gas","Middle East and Africa","Iran",157
"2013","Gas","Middle East and Africa","Kuwait",16
"2013","Gas","Middle East and Africa","Saudi Arabia",82
"2013","Gas","Middle East and Africa","United Arab Emirates",55
"2014","Gas","Europe and CIS","Belgium",0
"2014","Gas","Europe and CIS","Czech Rep.",0
"2014","Gas","Europe and CIS","France",0
"2014","Gas","Europe and CIS","Germany",9
"2014","Gas","Europe and CIS","Italy",7
"2014","Gas","Europe and CIS","Netherlands",70
"2014","Gas","Europe and CIS","Poland",6
"2014","Gas","Europe and CIS","Portugal",0
"2014","Gas","Europe and CIS","Romania",11
"2014","Gas","Europe and CIS","Spain",0
"2014","Gas","Europe and CIS","Sweden",0
"2014","Gas","Europe and CIS","United Kingdom",39
"2014","Gas","Europe and CIS","Norway",113
"2014","Gas","Europe and CIS","Turkey",0
"2014","Gas","Europe and CIS","Kazakhstan",34
"2014","Gas","Europe and CIS","Russia",647
"2014","Gas","Europe and CIS","Ukraine",20
"2014","Gas","Europe and CIS","Uzbekistan",62
"2014","Gas","North America","Canada",164
"2014","Gas","North America","United States",733
"2014","Gas","South and Central America","Argentina",39
"2014","Gas","South and Central America","Brazil",23
"2014","Gas","South and Central America","Chile",1
"2014","Gas","South and Central America","Colombia",13
"2014","Gas","South and Central America","Mexico",45
"2014","Gas","South and Central America","Venezuela",23
"2014","Gas","Asia Pacific","China",130
"2014","Gas","Asia Pacific","India",33
"2014","Gas","Asia Pacific","Indonesia",75
"2014","Gas","Asia Pacific","Japan",3
"2014","Gas","Asia Pacific","Malaysia",70
"2014","Gas","Asia Pacific","South Korea",0
"2014","Gas","Asia Pacific","Taiwan",0
"2014","Gas","Asia Pacific","Thailand",37
"2014","Gas","Asia Pacific","Australia",63
"2014","Gas","Asia Pacific","New Zealand",5
"2014","Gas","Middle East and Africa","Algeria",83
"2014","Gas","Middle East and Africa","Egypt",43
"2014","Gas","Middle East and Africa","Nigeria",42
"2014","Gas","Middle East and Africa","South Africa",1
"2014","Gas","Middle East and Africa","Iran",175
"2014","Gas","Middle East and Africa","Kuwait",15
"2014","Gas","Middle East and Africa","Saudi Arabia",85
"2014","Gas","Middle East and Africa","United Arab Emirates",54
"2015","Gas","Europe and CIS","Belgium",0
"2015","Gas","Europe and CIS","Czech Rep.",0
"2015","Gas","Europe and CIS","France",0
"2015","Gas","Europe and CIS","Germany",9
"2015","Gas","Europe and CIS","Italy",7
"2015","Gas","Europe and CIS","Netherlands",54
"2015","Gas","Europe and CIS","Poland",6
"2015","Gas","Europe and CIS","Portugal",0
"2015","Gas","Europe and CIS","Romania",11
"2015","Gas","Europe and CIS","Spain",0
"2015","Gas","Europe and CIS","Sweden",0
"2015","Gas","Europe and CIS","United Kingdom",41
"2015","Gas","Europe and CIS","Norway",121
"2015","Gas","Europe and CIS","Turkey",0
"2015","Gas","Europe and CIS","Kazakhstan",38
"2015","Gas","Europe and CIS","Russia",638
"2015","Gas","Europe and CIS","Ukraine",19
"2015","Gas","Europe and CIS","Uzbekistan",62
"2015","Gas","North America","Canada",165
"2015","Gas","North America","United States",767
"2015","Gas","South and Central America","Argentina",40
"2015","Gas","South and Central America","Brazil",23
"2015","Gas","South and Central America","Chile",1
"2015","Gas","South and Central America","Colombia",12
"2015","Gas","South and Central America","Mexico",42
"2015","Gas","South and Central America","Venezuela",22
"2015","Gas","Asia Pacific","China",135
"2015","Gas","Asia Pacific","India",31
"2015","Gas","Asia Pacific","Indonesia",75
"2015","Gas","Asia Pacific","Japan",3
"2015","Gas","Asia Pacific","Malaysia",69
"2015","Gas","Asia Pacific","South Korea",0
"2015","Gas","Asia Pacific","Taiwan",0
"2015","Gas","Asia Pacific","Thailand",33
"2015","Gas","Asia Pacific","Australia",67
"2015","Gas","Asia Pacific","New Zealand",5
"2015","Gas","Middle East and Africa","Algeria",84
"2015","Gas","Middle East and Africa","Egypt",38
"2015","Gas","Middle East and Africa","Nigeria",44
"2015","Gas","Middle East and Africa","South Africa",1
"2015","Gas","Middle East and Africa","Iran",184
"2015","Gas","Middle East and Africa","Kuwait",17
"2015","Gas","Middle East and Africa","Saudi Arabia",87
"2015","Gas","Middle East and Africa","United Arab Emirates",60
"2016","Gas","Europe and CIS","Belgium",0
"2016","Gas","Europe and CIS","Czech Rep.",0
"2016","Gas","Europe and CIS","France",0
"2016","Gas","Europe and CIS","Germany",8
"2016","Gas","Europe and CIS","Italy",6
"2016","Gas","Europe and CIS","Netherlands",50
"2016","Gas","Europe and CIS","Poland",6
"2016","Gas","Europe and CIS","Portugal",0
"2016","Gas","Europe and CIS","Romania",10
"2016","Gas","Europe and CIS","Spain",0
"2016","Gas","Europe and CIS","Sweden",0
"2016","Gas","Europe and CIS","United Kingdom",42
"2016","Gas","Europe and CIS","Norway",120
"2016","Gas","Europe and CIS","Turkey",0
"2016","Gas","Europe and CIS","Kazakhstan",39
"2016","Gas","Europe and CIS","Russia",644
"2016","Gas","Europe and CIS","Ukraine",20
"2016","Gas","Europe and CIS","Uzbekistan",63
"2016","Gas","North America","Canada",177
"2016","Gas","North America","United States",759
"2016","Gas","South and Central America","Argentina",43
"2016","Gas","South and Central America","Brazil",24
"2016","Gas","South and Central America","Chile",1
"2016","Gas","South and Central America","Colombia",12
"2016","Gas","South and Central America","Mexico",36
"2016","Gas","South and Central America","Venezuela",24
"2016","Gas","Asia Pacific","China",136
"2016","Gas","Asia Pacific","India",31
"2016","Gas","Asia Pacific","Indonesia",74
"2016","Gas","Asia Pacific","Japan",3
"2016","Gas","Asia Pacific","Malaysia",70
"2016","Gas","Asia Pacific","South Korea",0
"2016","Gas","Asia Pacific","Taiwan",0
"2016","Gas","Asia Pacific","Thailand",31
"2016","Gas","Asia Pacific","Australia",84
"2016","Gas","Asia Pacific","New Zealand",5
"2016","Gas","Middle East and Africa","Algeria",95
"2016","Gas","Middle East and Africa","Egypt",38
"2016","Gas","Middle East and Africa","Nigeria",39
"2016","Gas","Middle East and Africa","South Africa",1
"2016","Gas","Middle East and Africa","Iran",190
"2016","Gas","Middle East and Africa","Kuwait",17
"2016","Gas","Middle East and Africa","Saudi Arabia",92
"2016","Gas","Middle East and Africa","United Arab Emirates",61
