"Region","Year","Reserves_in_Percentage"
"Middle East","2012",43
"Europe and CIS","2012",31.2
"Asia Pacific","2012",8.2
"Africa","2012",7.7
"North America","2012",5.8
"South and Central America","2012",4.1
"Middle East","2013",43.2
"Europe and CIS","2013",30.5
"Asia Pacific","2013",8.2
"Africa","2013",7.6
"North America","2013",6.3
"South and Central America","2013",4.1
"Middle East","2014",42.7
"Europe and CIS","2014",31
"Asia Pacific","2014",8.2
"Africa","2014",7.6
"North America","2014",6.5
"South and Central America","2014",4.1
"Middle East","2015",42.8
"Europe and CIS","2015",30.4
"Asia Pacific","2015",8.4
"Africa","2015",7.5
"North America","2015",6.8
"South and Central America","2015",4.1
"Middle East","2016",42.5
"Europe and CIS","2016",30.4
"Asia Pacific","2016",9.4
"Africa","2016",7.6
"North America","2016",6
"South and Central America","2016",4.1
